name,latitude,longitude,stop_number,direction,street
Northbound Dalhousie at Purdue,49.79489,-97.14574,60051,Northbound,Dalhousie Drive
Southbound Pembina at Station,49.76669,-97.1552,60746,Southbound,Pembina Highway
Westbound De L'eglise at St. Pierre,49.76488,-97.14483,60753,Westbound,De L'eglise Avenue
Westbound De L'eglise at Campeau,49.76482,-97.149,60755,Westbound,De L'eglise Avenue
Southbound Dalhousie at Purdue,49.79556,-97.14648,60052,Southbound,Dalhousie Drive
Eastbound Lemay at Pembina,49.76533,-97.15281,60747,Eastbound,Lemay Avenue
Westbound De L'eglise at Pembina East,49.76474,-97.15254,60756,Westbound,De L'eglise Avenue
Southbound Pembina at Lemay,49.76503,-97.15373,62042,Southbound,Pembina Highway
Northbound Villeneuve at Gendreau,49.76561,-97.15661,60018,Northbound,Villeneuve Boulevard
Eastbound Silverstone at McGill,49.7966,-97.14572,60075,Eastbound,Silverstone Avenue
Westbound Silverstone at McGill,49.79674,-97.14573,60076,Westbound,Silverstone Avenue
Westbound Des Trappistes at Pembina West,49.76441,-97.15394,60783,Westbound,Des Trappistes Street
Eastbound Dalhousie at Pembina East,49.79512,-97.15667,60068,Eastbound,Dalhousie Drive
Eastbound Dalhousie at Ulster,49.79621,-97.15344,60070,Eastbound,Dalhousie Drive
Westbound Dalhousie at Pembina East,49.79524,-97.157,60679,Westbound,Dalhousie Drive
Eastbound Silverstone at MacAlester,49.79741,-97.14335,60077,Eastbound,Silverstone Avenue
Northbound Pembina at Dalhousie North,49.79531,-97.15715,60069,Northbound,Pembina Highway
Westbound Dalhousie at Ulster,49.79632,-97.15382,60071,Westbound,Dalhousie Drive
Westbound Silverstone at Laval,49.79755,-97.14336,60078,Westbound,Silverstone Avenue
Westbound Des Trappistes at Villeneuve,49.76395,-97.1553,60757,Westbound,Des Trappistes Street
Eastbound Dalhousie at Allegheny,49.79701,-97.15108,60073,Eastbound,Dalhousie Drive
Westbound Dalhousie at Allegheny,49.79697,-97.15186,60072,Westbound,Dalhousie Drive
Eastbound Dalhousie at Allegheny East,49.7976,-97.14871,60680,Eastbound,Dalhousie Drive
Westbound Dalhousie at Silverstone West,49.7977,-97.14822,60681,Westbound,Dalhousie Drive
Southbound Brady at Vitran,49.81216,-97.21953,62045,Southbound,Brady Road
Northbound Brady at Vitran,49.81262,-97.21938,62048,Northbound,Brady Road
Southbound Scurfield at Ivy Lea,49.80511,-97.21643,60956,Southbound,Scurfield Boulevard
Northbound Scurfield at Vanderbilt,49.80537,-97.21631,60950,Northbound,Scurfield Boulevard
Northbound Scurfield at Izatt School,49.80715,-97.21541,60951,Northbound,Scurfield Boulevard
Southbound Scurfield at Izatt School,49.80742,-97.21527,60938,Southbound,Scurfield Boulevard
Westbound Fleetwood at Royal Oak,49.81107,-97.21601,62047,Westbound,Fleetwood Road
Eastbound Fleetwood at Royal Oak,49.81092,-97.21591,62046,Eastbound,Fleetwood Road
Westbound Scurfield at Vineland,49.80375,-97.21417,60948,Westbound,Scurfield Boulevard
Eastbound Scurfield at Vineland,49.80352,-97.21321,60933,Eastbound,Scurfield Boulevard
Northbound Fort Whyte at Fort Whyte Alive,49.81579,-97.21826,62044,Northbound,Fort Whyte Loop
Southbound Scurfield at Fleetwood West,49.80962,-97.21247,60930,Southbound,Scurfield Boulevard
Northbound Scurfield at Fleetwood West,49.80979,-97.21217,60952,Northbound,Scurfield Boulevard
Westbound Scurfield at Sheffield,49.80638,-97.20856,60946,Westbound,Scurfield Boulevard
Eastbound Scurfield at Sheffield,49.80656,-97.20842,60935,Eastbound,Scurfield Boulevard
Eastbound Scurfield at Beacon Hill,49.80449,-97.20971,60934,Eastbound,Scurfield Boulevard
Westbound Scurfield at Beacon Hill,49.80433,-97.21049,60947,Westbound,Scurfield Boulevard
Eastbound Columbia at Westmoreland,49.80891,-97.20394,60901,Eastbound,Columbia Drive
Eastbound Scurfield at Fleetwood East,49.80947,-97.2085,60937,Eastbound,Scurfield Boulevard
Westbound Scurfield at Fleetwood East,49.80957,-97.2087,60715,Westbound,Scurfield Boulevard
Westbound Columbia at Westmoreland,49.80923,-97.20413,60900,Westbound,Columbia Drive
Eastbound Columbia at Scurfield,49.81043,-97.2061,60892,Eastbound,Columbia Drive
Westbound Columbia at Scurfield,49.8107,-97.20621,60891,Westbound,Columbia Drive
Eastbound Columbia at Shillingstone,49.80872,-97.19989,60854,Eastbound,Columbia Drive
Westbound Bridge Lake at Rose Garden,49.80007,-97.2028,61220,Westbound,Bridge Lake Drive
Westbound Columbia at Prospect,49.80921,-97.19889,60860,Westbound,Columbia Drive
Southbound Scurfield at Portwood,49.81211,-97.21155,60955,Southbound,Scurfield Boulevard
Westbound Bridge Lake at Sablewood,49.79882,-97.20512,61221,Westbound,Bridge Lake Drive
Southbound Columbia at Saxon,49.81112,-97.19743,60859,Southbound,Columbia Drive
Northbound Columbia at Saxon,49.81125,-97.19734,60856,Northbound,Columbia Drive
Southbound Columbia at Exbury,49.81227,-97.1989,60828,Southbound,Columbia Drive
Southbound Scurfield at Invermere,49.81375,-97.21133,60954,Southbound,Scurfield Boulevard
Northbound Columbia at Exbury,49.81264,-97.19911,60829,Northbound,Columbia Drive
Westbound North Town at Centre St.,49.79867,-97.19793,61219,Westbound,North Town Road
Eastbound Scurfield at Columbia East,49.81432,-97.20067,60719,Eastbound,Scurfield Boulevard
Southbound Scurfield at Leander,49.81504,-97.21065,60389,Southbound,Scurfield Boulevard
Southbound Columbia at Scurfield,49.81491,-97.20182,61112,Southbound,Columbia Drive
Westbound Scurfield at Columbia East,49.81456,-97.20038,60717,Westbound,Scurfield Boulevard
Northbound Columbia at Scurfield,49.81488,-97.20139,61105,Northbound,Columbia Drive
Southbound Centre at North Town,49.79793,-97.19728,62049,Southbound,Centre Street
Northbound Centre at North Town,49.79801,-97.19707,61234,Northbound,Centre Street
Eastbound North Town at Kenaston,49.7988,-97.19516,62026,Eastbound,North Town Road
Westbound North Town at Kenaston,49.79901,-97.19472,62025,Westbound,North Town Road
Southbound Columbia at Marygrove South,49.81614,-97.20377,61111,Southbound,Columbia Drive
Southbound Scurfield at Breckenridge,49.81623,-97.20973,61126,Southbound,Scurfield Boulevard
Northbound Columbia at Marygrove South,49.8163,-97.20353,61106,Northbound,Columbia Drive
Eastbound Scurfield at Kenaston West,49.81518,-97.19779,60864,Eastbound,Scurfield Boulevard
Westbound Scurfield at Kenaston West,49.81536,-97.19799,60858,Westbound,Scurfield Boulevard
Southbound Scurfield at Moncrief,49.81726,-97.20747,61125,Southbound,Scurfield Boulevard
Southbound Columbia at Marygrove North,49.81748,-97.20488,61110,Southbound,Columbia Drive
Westbound North Town at Hill Grove,49.79975,-97.19086,61276,Westbound,North Town Road
Northbound Columbia at Marygrove North,49.81773,-97.2047,61107,Northbound,Columbia Drive
Southbound Bridgeland at Oak Lawn,49.80311,-97.1887,61169,Southbound,Bridgeland Drive
Eastbound North Town at Hill Grove,49.79971,-97.19067,61273,Eastbound,North Town Road
Northbound Bridgeland at Oak Lawn,49.80326,-97.1886,61159,Northbound,Bridgeland Drive
Eastbound Bridgeland at Bridlewood,49.80595,-97.18792,61160,Eastbound,Bridgeland Drive
Westbound Bridgeland at Clovercrest,49.80634,-97.18783,61168,Westbound,Bridgeland Drive
Southbound Columbia at McGillivray,49.81898,-97.20606,60883,Southbound,Columbia Drive
Southbound Henlow at Fultz,49.81382,-97.1907,60957,Southbound,Henlow Bay
Northbound Columbia at McGillivray,49.81906,-97.20577,60865,Northbound,Columbia Drive
Northbound Henlow at Fultz,49.81398,-97.19061,60433,Northbound,Henlow Bay
Northbound Henlow at Scurfield South,49.81533,-97.19171,60712,Northbound,Henlow Bay
Westbound Scurfield at Henlow,49.81677,-97.19383,60826,Westbound,Scurfield Boulevard
Eastbound Scurfield at Henlow West,49.81676,-97.19313,60825,Eastbound,Scurfield Boulevard
Northbound Henlow at Scurfield,49.81661,-97.19273,61201,Northbound,Henlow Bay
Eastbound McGillivray at Kenaston,49.82025,-97.20379,61108,Eastbound,McGillivray Boulevard
Southbound Kenaston Common at McGillivray (Costco),49.82046,-97.20706,61241,Southbound,Kenaston Common Drive
Westbound McGillivray at Kenaston,49.82033,-97.20409,61109,Westbound,McGillivray Boulevard
