name,latitude,longitude,category
Neville-Margate Tot Lot,49.95041743158616,-97.17972004526601,Park
South Tuxedo Buffer,49.846133228523485,-97.22542506687881,Park
Ridgewood West Path South,49.84080967548918,-97.32100509973576,Park
Brock Fleet Park,49.86046918095485,-97.1889591184931,Park
Hugo Street End Park,49.86107176568402,-97.14222631996692,Park
Bunn's Creek Greenway-B,49.957198699237,-97.06879121169972,Park
Kleysen Park,49.83722010457315,-97.19880058032493,Park
Beecher Tot Lot,49.95243885509338,-97.124719261558,Park
Silver Greenway-2,49.88899517512925,-97.24507415261144,Park
McBey Playground,49.878043997631615,-97.28663664351836,Park
Charleswood Road Greenspace,49.82435337983607,-97.31202352413831,Park
Waverley Richmond West Buffer-2,49.78272165873962,-97.173370390547,Park
Central Park,49.896823715674934,-97.14928643866615,Park
Mosselle Greenspace,49.9688821123076,-97.16658022244174,Park
Abdo and Samira El Tassi Park,49.90479286931484,-97.10235190157266,Park
Montcalm Park,49.904159774706564,-97.10399374535282,Park
Highland Point Park,49.97037254276443,-97.1092827680089,Park
Kapyong Park,49.88398074112145,-97.22252843920191,Park
Ambassador Park,49.95216130956602,-97.13145277275726,Park
Richardson-McCurdy Tot Lot,49.94251197247054,-97.14938901034165,Park
Maples C.C-Elwick Site,49.946638960819605,-97.16594142307382,Park
Hal Rogers Kinsmen Park,49.8112494277711,-97.10846033207703,Park
Joe Malone Park,49.851875525469616,-97.20331822230163,Park
Earl Grey C.C,49.866176891912204,-97.1505615246664,Park
River Ridge Riverbank Park,49.952700629506936,-97.086671411398,Park
Tyndall Park C.C,49.936206223046945,-97.2046025415538,Park
Canada 150 Commemorative Park,49.90423819256823,-97.05298824493488,Park
Tanner Tot Lot,49.947615012550514,-97.11701391116296,Park
Sadler Riverbank,49.84690910960294,-97.09248221574961,Park
Sturgeon Road Buffer South,49.889271301841305,-97.27791684857962,Park
Pacific Avenue Tot Lot,49.90358439861087,-97.14562872787616,Park
Provencher-Tissot Riverbank,49.89475555928256,-97.10937984843763,Park
Sioux Riverbank,49.79382451308748,-97.05039181140958,Park
Redonda Lane Walkway-10,49.90645505448057,-96.97987076590555,Park
Camiel Sys Park,49.87749282088434,-97.03020622070844,Park
Ballantrae Drive Park South,49.822067013877636,-97.16128304300757,Park
John Bruce East Riverbank,49.83344423246929,-97.08672541877017,Park
Silver Greenway-1,49.88919271340256,-97.25573459112026,Park
Riverbend Park,49.96136240455084,-97.09563032893504,Park
Mountbatten Park,49.77001373633119,-97.12629098499502,Park
Bridgwater Trails Centre,49.78781243856428,-97.20366500778688,Park
Dakota Park / Dakota C.C,49.81804248399962,-97.10144082368262,Park
Southdale C.C,49.84630740731701,-97.07792009219469,Park
McFadyen Playground,49.883178244124466,-97.14141548068015,Park
Browning Boulevard Extension,49.87261242473529,-97.3064791907841,Park
Whittier Park,49.89951006133143,-97.12115572528654,Park
Blue Stem Nature Park,49.88517187343998,-97.19528931470066,Park
Egerton-Essex Riverbank,49.86988240160566,-97.10332529441898,Park
Ambergate Trail,49.96623005966941,-97.17467538037874,Park
Parr Tot Lot,49.93232669551002,-97.14166567050238,Park
Devonshire Village Path,49.91040775443097,-97.03701191643951,Park
Manila-Jefferson Tot Lot,49.9573170046206,-97.17616550611238,Park
McPhillips Greenway-4,49.9436240751093,-97.15595338141384,Park
Riccardo De Thomasis Park,49.82265658210911,-97.09461848854318,Park
Dakota-Tufnell Buffer,49.81687810097877,-97.0990104644396,Park
Maple Leaf Park,49.900087222993996,-97.01007149803735,Park
Bridgwater Trails,49.78798109490263,-97.20300955943064,Park
Seine River Greenway-Woodydell Novavista,49.82940194210317,-97.08515073259802,Park
Lumsden Pond,49.895479017750176,-97.31029348139207,Park
Morse Place C.C,49.9120359238093,-97.08402586658855,Park
Henderson Buffer,49.93417289356304,-97.09757293211851,Park
Peri Green,49.84962939818879,-97.3207482711315,Park
Leila Simkin Greenspace,49.95523013608526,-97.15429404353868,Park
Jill Officer Park,49.94453374828225,-97.07715763904734,Park
Springfield Buffer,49.93156619363824,-97.05094921726113,Park
Sun Valley Park South,49.93655805343758,-97.05343576613625,Park
